name,rating,user_ratings_total
Legends Bar & Grill,4.5,520.0
Sweet Eats,4.0,1.0
Harold's Chop Suey,4.3,414.0
TYP’s Snack Shop,5.0,4.0
Members Only STL Café,4.7,17.0
King PRINCE BAR B QUE,4.1,444.0
Pop's Fish & Chicken Market,4.4,205.0
Host eatery &catering,4.0,1.0
Chop Suey,4.2,29.0
Just The 2 Of Us Fried Rice,4.8,101.0
Restaurant of Soule,4.5,2.0
Dr King Chop Suey,4.1,571.0
Omars Food Shop,4.9,68.0
Church's Chicken,3.3,498.0
Soul food. Restaurant,,
Chicago Market Fish And Chicken - Union Blvd,4.1,23.0
Aaa Fish House,,
Tripe City,3.9,151.0
Hong Mein Chop Suey,4.2,33.0
Bing Chop Suey,4.4,95.0
Brew Tulum Specialty Coffee Experience,4.6,156.0
Cocina Latina,4.2,312.0
Billy Birk's Snack Shop,4.0,23.0
Lee's Famous Recipe Chicken,4.0,387.0
King Chop Suey,4.4,375.0
St Louis Q,4.3,679.0
St Louis Fish & Chicken,4.0,697.0
Miami Grill,4.2,280.0
Speakeasy A Bar & Restaurant,4.5,282.0
